diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2
630405953858049876,-10.358111865108736,106.3228851312301,497.171,,0.0,-2462.11279296875,-2462.11279296875,497.1713562011719,-2462.11279296875,1.0,,,0.0
630406022577523798,-10.362403125803468,106.14860251608548,,,,,,,,,,,
630405953858051380,-10.401581343828582,106.20851226479303,158.817,,0.0,935.2166748046875,935.2167358398438,158.8168182373047,935.2166748046875,1.0,,,1.47695e-13
579578761121366416,-71.68102050375703,5.664590091223813,,,,,,,,,,,
609782208097419656,-28.330125002600674,52.742976093979514,,,,,,,,,,,
648368263004160043,7.397666261107613,37.703877666328424,,,,,,,,,,,
611255210081255529,-27.95478412515325,52.72518910963259,,,,,,,,,,,
614436990573613577,-24.942683927934116,95.26366438200485,196.705,237.46823920361624,971.944,1129.1021728515625,-91.1597671508789,135.60511779785156,-814.7862548828125,2.0,1374.5366891210326,5.583465142526215,48.0192
611253766972248521,-28.19382153670089,52.95580575108794,242.439,,0.0,-950.3843383789062,-950.3843994140625,242.43899536132812,-950.3843383789062,1.0,,,6.33804e-14
630407190808625556,-10.085960487480778,106.61710091449939,,,,,,,,,,,
611256378312360376,-27.677069573387442,53.40929883802141,,,,,,,,,,,
614437059293090940,-24.987454253562824,95.01573954021322,128.769,,0.0,662.5118408203125,662.5118408203125,128.76947021484375,662.5118408203125,1.0,,,0.0
614435684903551584,-25.2702332007234,95.1019683522276,,,,,,,,,,,
614438296243668523,-24.617984979071068,95.43186189191752,,,,,,,,,,,
612930041168265240,-25.307355318054075,94.64554833505707,787.989,-212.69848327349607,5267.33,-4567.83056640625,-14257.408203125,248.18008422851562,-38434.44921875,10.0,10861.193777766568,9.629511682702127,1768.72
628769880555913392,-10.43488351033602,106.3322809735974,,,,,,,,,,,
612929216534545500,-25.48651223506179,94.98786487564355,,,,,,,,,,,
604064060438216829,-34.398619366590296,40.17123632365296,,,,,,,,,,,
611254522886492934,-28.033022851556566,52.72744777142527,,,,,,,,,,,
628761840377143431,-10.579970889271321,105.96815404368094,197.161,,0.0,966.90771484375,966.90771484375,197.1609649658203,966.90771484375,1.0,,,0.0
592913225826174871,-48.922583217569915,59.126712261562915,,,,,,,,,,,
614437609048901440,-24.827187393426662,95.40781636684753,,,,,,,,,,,
579583227887354836,-72.36329275577785,7.079217786365219,,,,,,,,,,,
611254935203352937,-27.885446721483937,53.53432280096325,,,,,,,,,,,
579577936487648908,-71.89878638611876,6.674003451116819,316.684,223302.29946597028,391.544,-2020.97119140625,-2434.02294921875,223.676025390625,-2804.0595703125,2.0,553.7271029929899,1.4067068193845487,3.05499
592912401192452630,-49.0356597758925,59.59658747255228,,,,,,,,,,,
579576699537067121,-72.23588240269368,5.556158870974756,,,,,,,,,,,
614437677768378197,-24.82291129336459,95.2846575751635,,,,,,,,,,,
579578005207131100,-71.92361394469395,5.72048977106,,,,,,,,,,,
604064129157695696,-34.40937707992093,39.81500652511705,,,,,,,,,,,
592916043324719610,-48.24474268677388,58.96684323130783,175.785,,0.0,934.28515625,934.28515625,175.78453063964844,934.28515625,1.0,,,0.0
611253766972246415,-28.216860461694335,52.94686720927865,,,,,,,,,,,
611255210081260987,-27.948862836894044,52.806062683424095,,,,,,,,,,,
630405953858044734,-10.363090329263798,106.17370875417465,,,,,,,,,,,
630405953858051603,-10.398896265108803,106.16711431105045,,,,,,,,,,,
609789423642477912,-28.30831205905783,53.46013364047903,,,,,,,,,,,
611255072642304421,-27.980156128257264,53.2048899693012,,,,,,,,,,,
611255003922835927,-27.95074441259623,53.423581858940096,139.359,,0.0,643.2167358398438,643.2167358398438,139.35914611816406,643.2167358398438,1.0,,,0.0
592913981740418705,-48.74293128788494,58.8255745956567,,,,,,,,,,,
611255897276023275,-27.80903094496154,52.86013587675442,,,,,,,,,,,
592913363265126736,-48.85819153763873,58.670350348302975,,,,,,,,,,,
628769743116962736,-10.430258784570432,106.61893162952863,,,,,,,,,,,
630406022577524755,-10.367130074151035,106.12217928823515,188.656,,0.0,961.048095703125,961.0480346679688,188.65586853027344,961.048095703125,1.0,,,1.04669e-13
648363383921311901,6.198036461992507,37.92340737821756,361.358,-16.203808926712373,287.53,3855.745849609375,3432.5146484375,180.63601684570312,3021.955078125,4.0,368.6632068738586,0.0334251549241916,3.17768
630406022577527866,-10.412691311308729,106.16076078430169,372.708,,0.0,-1941.2330322265625,-1941.233154296875,372.7083435058594,-1941.2330322265625,1.0,,,1.07271e-13
628762458852426223,-10.463616334011423,106.18948899936177,,,,,,,,,,,
579579517035610129,-71.6420388075077,5.04333150051078,384.092,,0.0,10037.8056640625,10037.806640625,384.0924072265625,10037.8056640625,1.0,,,6.46441e-12
604062205012344872,-34.84024135104207,39.603398550114115,,,,,,,,,,,
628769193361156731,-10.601166307258048,106.33143758450731,,,,,,,,,,,
579576012342298032,-72.38339902905265,5.440639095513866,,,,,,,,,,,
630406022577524724,-10.347700209946714,106.12031803282589,192.129,,0.0,1292.644775390625,1292.644775390625,192.1292724609375,1292.644775390625,1.0,,,0.0
611254316728058013,-28.042674452689443,53.35221802005695,,,,,,,,,,,
614436303378841906,-25.078842148016978,95.19854184092084,168.058,314.8984591710565,959.143,1038.5245361328125,84.95712280273438,118.83342742919922,-879.7606201171875,2.0,1356.432442233871,7.423300021288517,65.144
611254522886490737,-28.1086558315691,52.86511703923249,,,,,,,,,,,
609788873886663302,-28.405489930999018,53.178348104374685,,,,,,,,,,,
611254385447540171,-28.18584181775232,53.140585658738445,,,,,,,,,,,
628762527571904204,-10.455822451068288,105.99236257379425,,,,,,,,,,,
628768437446910474,-10.795105461629332,106.58460160114737,207.973,,0.0,-1678.339111328125,-1678.339111328125,207.97293090820312,-1678.339111328125,1.0,,,0.0
592913294545652638,-48.92632981280532,58.82712757227954,160.475,,0.0,-869.2567749023438,-869.2567138671875,160.47537231445312,-869.2567749023438,1.0,,,1.44658e-13
614438296243668708,-24.64881510284842,95.43735762432564,,,,,,,,,,,
579578073926605345,-71.97867384368175,5.575245347018712,293.851,,0.0,3363.808837890625,3363.80859375,293.8511047363281,3363.808837890625,1.0,,,6.9028e-13
628769262080631845,-10.512073133593324,106.24256184029832,131.591,,0.0,455.7957763671875,455.7957763671875,131.59054565429688,455.7957763671875,1.0,,,0.0
611255003922826844,-27.946653371639403,53.389312275342895,,,,,,,,,,,
579576630817593311,-72.1933014119401,5.759168964349352,221.582,,0.0,510.01812744140625,510.01812744140625,221.58212280273438,510.01812744140625,1.0,,,0.0
614431767893377240,-24.47605109180285,94.7834772877049,314.767,,0.0,3094.076171875,3094.076171875,314.7666320800781,3094.076171875,1.0,,,0.0
579578073926601163,-71.8519927394869,5.555558671568894,353.866,,0.0,1799.8994140625,1799.8994140625,353.8661804199219,1799.8994140625,1.0,,,0.0
611253766972247571,-28.196048100982296,53.025988950518325,,,,,,,,,,,
614430324784367134,-24.82311862542811,94.86055985302411,,,,,,,,,,,
592915287410485053,-48.403298121656164,59.2484319310678,,,,,,,,,,,
579578005207128940,-71.92883832390395,5.944493940849202,,,,,,,,,,,
